group_index,sample_id,label,reason
1,1,2,因经济纠纷侵入，有前科，定性存疑
1,2,2,事出有因讨说法，非无事生非
1,3,0,多次堵锁喷漆，情节严重
1,4,1,持械砸店，定性故意伤害更宜
1,5,2,邻里纠纷升级，调解未平
1,6,2,酒后琐事持刀追砍，似故意伤害
1,7,0,受雇撑场面打砸，寻衅滋事
1,8,1,泄愤扎胎，破坏生产经营更准
1,9,0,持械斗殴致人轻伤，定罪无异议
1,10,0,借故生非纠众殴打，定寻衅
1,11,0,酒后随意殴打多人，情节恶劣
1,12,1,信访事项被定寻衅，属不当入罪
1,13,2,逼债引发悲剧，民事与刑事界限
1,14,0,偶发矛盾借故生非，致人轻微伤
1,15,0,蒙面持械截停殴打，情节恶劣
1,16,2,旧怨复殴，治安或自诉更妥
1,17,0,持凶器追砍物业，情节恶劣
1,18,2,邻里纠纷报复，非无事生非
1,19,0,因琐事殴打他人，典型寻衅
1,20,0,业务纠纷纠集殴打，破坏秩序
2,21,1,多次泼洒粪便油漆，民事纠纷泛刑事化
2,22,0,醉毁42车，虽有发泄情节但性质恶劣
2,23,0,持械殴打轻微伤，符合寻衅滋事特征
2,24,1,残疾人抢占客源，行政案件不当入刑
2,25,0,持枪砖头伤人流产，社会危害大
2,26,1,单次殴打致轻伤，属故意伤害不宜扩张
2,27,0,纠集他人殴打执法致轻伤，性质恶劣
2,28,0,酒后泄愤划车，数额较大，情节严重
2,29,0,多次无故殴打学生路人，属典型寻衅
2,30,0,持凶器随意殴打致人轻伤，构成犯罪
2,31,1,酒后砸店，数额不大，民事纠纷入罪
2,32,1,收车引发纠纷，有民事基础不应入刑
2,33,1,邻里琐事打架，轻微伤可治安处罚
2,34,0,赖账伤人，持械随意殴打，情节恶劣
2,35,0,聚众互殴致六人轻微伤，扰乱秩序
2,36,1,因停气与公司纠纷，非寻衅滋事
2,37,0,阻挠执法并纠集众打砸，情节严重
2,38,1,市场承包经营纠纷，不应刑事打击
2,39,0,随意殴打致人轻伤，共同犯罪，属寻衅
2,40,1,酒后划车，已赔偿获谅解，不应入罪
3,41,1,因借故生非刺伤三人，定性为寻衅滋事，风险高
3,42,0,持械随意殴打致人轻伤，定性准确
3,43,0,任意损毁财物达追诉标准，定性准确
3,44,1,信访行为入罪，有扩张风险
3,45,0,持械随意殴打致人轻伤，定性准确
3,46,0,逞强耍横随意殴打，定性准确
3,47,0,法院纠正为故意伤害，未扩大
3,48,2,因琐事引发殴打，界限模糊
3,49,2,逃费获利行为定性争议大
3,50,0,持械随意殴打多人，定性准确
3,51,2,因工程纠纷引发殴打，或属故意伤害
3,52,2,因赌资纠纷殴打，事出有因，定性难断
3,53,0,随意殴打致轻伤，定性准确
3,54,2,酒后殴打致轻微伤，入罪门槛问题
3,55,2,毁坏财物价值不高，入罪边缘
3,56,0,多次随意殴打他人，定性准确
3,57,0,持械随意殴打致人轻伤，定性准确
3,58,2,事出有因殴打致轻微伤，入罪边缘
3,59,2,多年前纠纷致轻伤，寻衅滋事存疑
3,60,2,因物业纠纷毁财，或不应入刑
4,61,0,持械伤人，情节轻微，定性准确
4,62,0,强揽工程阻工滋扰，构成寻衅滋事
4,63,0,恶势力团伙多次犯罪，情节严重
4,64,2,邻里纠纷引发，定性有争议
4,65,0,持械聚众斗殴，损毁财物，构成犯罪
4,66,2,信访闹事，涉及社会治理边界
4,67,2,信访终结后非访，涉及权利边界
4,68,2,报复损财，价值不大，罪与非罪边缘
4,69,0,结伙殴打致伤，情节恶劣，定罪准确
4,70,2,损毁财物价值较低，刑事介入必要存疑
4,71,2,感情纠纷引发，动机非流氓随意性
4,72,0,公共场所随意殴打，情节恶劣
4,73,0,持械聚众打砸，造成轻伤，定性无异议
4,74,0,持械伤人并砸车，情节严重，定罪准确
4,75,2,邻里纠纷互殴，虽有和解但介入刑事存疑
4,76,2,感情纠纷引发多次骚扰，民事为主刑为辅
4,77,0,结伙持械打砸，有前科累犯，定性准确
4,78,0,酒后随意殴打多人，已赔偿谅解，定性准确
4,79,0,法院改判故意伤害，属具体定性调整
4,80,0,强拿硬要他人财物，情节严重，构成犯罪
5,81,0,酒后滋事砸车伤人，定性准确
5,82,2,因纠纷引发，定性存在争议
5,83,0,持刀报复打砸，符合寻衅滋事
5,84,0,纠集随意殴打，致人轻微伤
5,85,2,因日常纠纷引发，非典型寻衅
5,86,1,因工纠纷指使砸车，扩大入罪
5,87,0,场所内逞强耍横随意殴打
5,88,1,因借钱不成报复，故意毁坏
5,89,0,结伙持械随意殴打，典型案件
5,90,2,因同行竞争借故生非，边界模糊
5,91,1,因讨债牵连亲属，构成不当入罪
5,92,0,讨薪冲突随意殴打，符合构成
5,93,0,为泄私愤任意损毁财物
5,94,1,报复恐吓持刀伤人，应定故意伤害
5,95,1,追逐拦截致人伤，应定交通肇事
5,96,1,因讨债入户打砸，不应定寻衅
5,97,1,因生意矛盾报复砸车，扩大入罪
5,98,1,土地纠纷不应定性寻衅滋事
5,99,1,强拿硬要未果砸店，涉黑性质风险
5,100,2,因事争执纠集殴打，边界模糊
