group_index,sample_id,label,reason
1,1,2,经济纠纷引发，债务关系存争议
1,2,2,生意纠纷引发，借故生非认定有争议
1,3,0,多次堵锁眼喷漆，无事生非明显
1,4,0,帮朋友出气持械砸物，逞强耍横
1,5,1,邻里纠纷调解后再滋事，定性扩张
1,6,0,酒后持刀追砍，情节恶劣
1,7,0,受邀撑场面殴打他人，帮人出头
1,8,0,多次扎胎损毁财物，任意损毁
1,9,2,交通事故纠纷引发，定性有争议
1,10,0,停车矛盾纠集多人持械殴打
1,11,0,酒后无事生非殴打多人
1,12,1,信访行为入罪，明显扩大化
1,13,2,暴力讨债，手段过当界限模糊
1,14,0,KTV门口口角后殴打他人
1,15,2,生意竞争预谋报复，伤害与滋事界限模糊
1,16,1,旧怨引发殴打，定性过于扩张
1,17,0,酒后持菜刀追砍物业人员
1,18,2,施工通行纠纷引发，定性有争议
1,19,0,邻桌声音大即持瓶殴打
1,20,2,商业纠纷引发，界限模糊
2,21,0,典型寻衅滋事，泼漆粪便损毁财物
2,22,0,针对不特定对象划车，破坏社会秩序
2,23,0,随意殴打他人，逞强耍横
2,24,0,多次辱骂他人，情节恶劣
2,25,0,持械入户殴打，后果严重
2,26,0,酒吧无故伤人，随意殴打
2,27,0,暴力抗法，指使殴打执法人员
2,28,2,数额较小，事出有因，赔偿谅解，情节较轻
2,29,0,多次随意殴打多人，典型寻衅滋事
2,30,0,持械斗殴，致人轻伤
2,31,0,持械砸毁财物，情节严重
2,32,2,虽有债权基础，但暴力手段有争议，辩护人质疑有一定道理
2,33,0,借故生非，逞强耍横
2,34,0,无事生非，持刀伤人
2,35,0,随意殴打，主动挑起斗殴
2,36,2,事出有因（停气），多次滋扰，边界模糊
2,37,0,暴力讨债，任意损毁财物
2,38,0,借故生非，持棍殴打他人
2,39,0,主动挑起，随意殴打
2,40,0,无故划车，任意损毁财物
3,41,0,持刀随意殴打致伤，典型寻衅滋事
3,42,0,持械报复致轻伤，典型寻衅滋事
3,43,2,损毁金额刚达标准，赌博纠纷引发，边界模糊
3,44,2,信访型案件，权利救济与犯罪边界争议大
3,45,0,纠集持械殴打致轻伤，典型寻衅滋事
3,46,0,纠集多人斗殴致轻伤，典型寻衅滋事
3,47,1,法院主动改定故意伤害，纠正扩大化指控
3,48,0,无事生非持械群殴，典型寻衅滋事
3,49,0,多次强闯收费站，典型寻衅滋事
3,50,0,校内持械滋事，典型寻衅滋事
3,51,0,纠集多人殴打致轻伤，典型寻衅滋事
3,52,0,赌博纠纷持械殴打，典型寻衅滋事
3,53,0,酒吧冲突持械伤人，典型寻衅滋事
3,54,0,酒后随意殴打致伤，典型寻衅滋事
3,55,0,踹电梯泄愤损毁财物，典型寻衅滋事
3,56,0,多次随意殴打他人，典型寻衅滋事
3,57,0,持械随意殴打致轻伤，典型寻衅滋事
3,58,0,结伙随意殴打致轻微伤，典型寻衅滋事
3,59,0,持械砍伤他人，典型寻衅滋事
3,60,0,损毁门禁系统，典型寻衅滋事
4,61,0,典型寻衅滋事，定罪恰当
4,62,1,经济纠纷中的过激行为，认定为寻衅滋事存在扩大化风险
4,63,2,职务行为与民事纠纷交织，整体定性存在争议
4,64,0,虽有故意伤害与寻衅滋事界限争议，但法院已审慎认定
4,65,0,典型持械寻衅滋事，定罪恰当
4,66,1,信访诉求表达认定为情节恶劣，存在扩大化风险
4,67,1,信访事项终结后继续上访认定为寻衅滋事，存在扩大化风险
4,68,2,特定矛盾引发，认定为寻衅滋事存在争议
4,69,2,特定矛盾引发且第二起证据不足，存在争议
4,70,0,典型任意损毁财物寻衅滋事，定罪恰当
4,71,0,典型随意殴打他人寻衅滋事，定罪恰当
4,72,0,典型随意殴打他人寻衅滋事，定罪恰当
4,73,0,典型随意殴打他人寻衅滋事，定罪恰当
4,74,2,从犯且情节较轻，认定为寻衅滋事存在争议
4,75,1,邻里纠纷引发的故意伤害，认定为寻衅滋事存在扩大化风险
4,76,1,狗吠引发的故意伤害，认定为寻衅滋事存在扩大化风险
4,77,2,恋爱纠纷引发的多次骚扰，认定为寻衅滋事存在争议
4,78,0,典型酒后随意殴打他人寻衅滋事，定罪恰当
4,79,1,经济纠纷中的扣车讨债，认定为寻衅滋事存在扩大化风险
supplement,80,0,强拿硬要财物，典型寻衅滋事
5,81,0,酒后滋事砸车伤人，典型寻衅滋事
5,82,2,砂站纠纷引发，事出有因但持械砸车
5,83,0,酒后砸车砍人，情节恶劣
5,84,0,KTV随意殴打他人致轻微伤
5,85,0,受雇随意殴打他人致轻伤
supplement,86,1,证据矛盾，指使行为存疑
5,87,0,酒店内随意殴打多人致轻伤
5,88,2,借钱未果指使撞门，事出有因
5,89,0,持械随意殴打他人致轻微伤
supplement,90,2,民事纠纷与刑事界限模糊
5,91,2,讨债引发打砸，动机存争议
supplement,92,0,持械殴打多人，定罪准确
5,93,0,砸车毁ATM机，发泄情绪
5,94,0,追逐撞车致轻微伤，无事生非
5,95,2,债务纠纷砸车，定性有争议
5,96,0,追赌债砸家伤人，情节严重
5,97,0,受雇砸车，任意毁损财物
5,98,2,占用土地养鱼，民事侵权还是犯罪
5,99,0,受雇随意殴打他人致轻微伤
5,100,0,纠集多人殴打他人致轻微伤
